category,title,text,text_clean,pos,text_clean_pos
World,Gaza settlers weigh price of withdrawal,"Israel agreed last week to pay settlers in the Gaza Strip who voluntarily leave up to \$500,000.",israel agreed last week pay settler gaza strip voluntarily leave 500000,NNS VBD JJ NN TO VB NNS IN DT NN NN WP RB VBP RB TO CD,israel_NNS agreed_VBD last_JJ week_NN pay_VB settler_NNS gaza_NN strip_NN voluntarily_RB leave_VBP 500000_CD
World,UN to Launch  #36;30 Mln Drive for Haiti Flood Victims (Reuters),"Reuters - The United Nations will launch\a global appeal for  #36;30 million in emergency aid to help Haiti\recover from floods that killed hundreds of people, the\executive director of UNICEF said on Wednesday on a visit to\the impoverished Caribbean nation.",reuters united nation launcha global appeal 3630 million emergency aid help haitirecover flood killed hundred people theexecutive director unicef said wednesday visit tothe impoverished caribbean nation,NNS DT JJ NNS MD VB JJ NN IN CD CD IN NN NN TO VB VB IN NNS WDT VBD NNS IN NNS JJ NN IN NN VBD IN NN IN DT NN NN JJ JJ NN,reuters_NNS united_JJ nation_NNS launcha_VB global_JJ appeal_NN 3630_CD million_CD emergency_NN aid_NN help_VB haitirecover_VB flood_NNS killed_VBD hundred_NNS people_NNS theexecutive_JJ director_NN unicef_NN said_VBD wednesday_NN visit_NN tothe_NN impoverished_JJ caribbean_JJ nation_NN
World,Russia shaken by air crash enigma,"Russia is in mourning for the 89 victims of a mystery double air crash, as officials refuse to rule out sabotage.",russia mourning 89 victim mystery double air crash official refuse rule sabotage,NN VBZ IN VBG IN DT CD NNS IN DT NN JJ NN NN IN NNS VBP TO VB RP NN,russia_NN mourning_VBG 89_CD victim_NNS mystery_NN double_JJ air_NN crash_NN official_NNS refuse_VBP rule_VB sabotage_NN
World,"Air India trial ends after 19 months, judge to decide verdict March 16, 2005 (Canadian Press)","Canadian Press - VANCOUVER (CP) - The Air India bombing trial concluded Friday, leaving only a judge to decide the verdict of two men accused of plotting Canada's worst mass murder and one of the world's worst acts of terrorism.",canadian press vancouver cp air india bombing trial concluded friday leaving judge decide verdict two men accused plotting canada worst mass murder one world worst act terrorism,JJ NN NN VBP DT NN VBZ VBG NN VBD NN VBG RB DT NN TO VB DT NN IN CD NNS VBN IN VBG NNS JJS NN NN CC CD IN DT NNS JJS NNS IN NN,canadian_JJ press_NN vancouver_NN cp_VBP air_NN india_VBZ bombing_VBG trial_NN concluded_VBD friday_NN leaving_VBG judge_NN decide_VB verdict_NN two_CD men_NNS accused_VBN plotting_VBG canada_NNS worst_JJS mass_NN murder_NN one_CD world_NNS worst_JJS act_NNS terrorism_NN
World,"Pakistan Says Militants on the Run, Despite Blast (Reuters)","Reuters - Pakistani forces are driving al\Qaeda-linked militants out of mountains near the Afghan border\but attacks such as a bomb that wounded soldiers on Saturday\could not be ruled out, a commander said.",reuters pakistani force driving alqaedalinked militant mountain near afghan borderbut attack bomb wounded soldier saturdaycould ruled commander said,NNS VBP NNS VBP VBG VBD NNS IN IN NNS IN DT NN NN NNS JJ IN DT NN WDT VBD NNS IN NN RB VB VBN RP DT NN VBD,reuters_NNS pakistani_VBP force_NNS driving_VBG alqaedalinked_VBD militant_NNS mountain_NNS near_IN afghan_NN borderbut_NN attack_NNS bomb_NN wounded_VBD soldier_NNS saturdaycould_NN ruled_VBN commander_NN said_VBD
World,Kabul kidnappers 'ready to talk',Militants who say they are holding three foreigners hostage in Afghanistan say talks are about to open.,militant say holding three foreigner hostage afghanistan say talk open,NNS WP VBP PRP VBP VBG CD NNS VBP IN JJ VBP NNS VBP IN TO VB,militant_NNS say_VBP holding_VBG three_CD foreigner_NNS hostage_VBP afghanistan_JJ say_VBP talk_NNS open_VB
World,Summary Box: Iran Vows to Stop Enrichment (AP),AP - THE NEWS: Iran agreed Sunday not to test any centrifuges as part of a total suspension of nuclear activities that can yield uranium for atomic weapons.,ap news iran agreed sunday test centrifuge part total suspension nuclear activity yield uranium atomic weapon,IN DT NN NN VBD JJ RB TO VB DT NNS IN NN IN DT JJ NN IN JJ NNS WDT MD VB JJ IN JJ NNS,ap_IN news_NN iran_NN agreed_VBD sunday_JJ test_VB centrifuge_NNS part_NN total_JJ suspension_NN nuclear_JJ activity_NNS yield_VB uranium_JJ atomic_JJ weapon_NNS
World,Iraqi President Faults Army #39;s Dissolution,"The interim president of Iraq, Ghazi al-Yawer, says the US-led coalition made a big mistake when it disbanded the Iraqi armed forces after last year #39;s invasion to topple Saddam Hussein.",interim president iraq ghazi alyawer say usled coalition made big mistake disbanded iraqi armed force last year 39s invasion topple saddam hussein,DT JJ NN IN JJ NNS VBP VBZ DT JJ NN VBD DT JJ NN WRB PRP VBD DT NN VBD NNS IN JJ NN CD NN TO VB JJ NN,interim_JJ president_NN iraq_JJ ghazi_NNS alyawer_VBP say_VBZ usled_JJ coalition_NN made_VBD big_JJ mistake_NN disbanded_VBD iraqi_NN armed_VBD force_NNS last_JJ year_NN 39s_CD invasion_NN topple_VB saddam_JJ hussein_NN
World, #39;Bug #39; found in Sinn Fein offices,"A bugging device has been discovered at Sinn Fein #39;s offices in west Belfast, the party said. The listening equipment was found after staff searched all premises following an earlier find at the home of a member ",bugging device discovered sinn fein 39s office west belfast party said listening equipment found staff searched premise following earlier find home member,DT NN NN VBZ VBN VBN IN JJ NN CD NNS IN JJS IN DT NN VBD DT NN NN VBD VBN IN NN VBD DT NNS VBG DT JJR NN IN DT NN IN DT NN,bugging_NN device_NN discovered_VBN sinn_JJ fein_NN 39s_CD office_NNS west_JJS belfast_IN party_NN said_VBD listening_NN equipment_NN found_VBN staff_NN searched_VBD premise_NNS following_VBG earlier_JJR find_NN home_NN member_NN
World, #39;Mercenaries #39; await their fate in Zimbabwe,"A Zimbabwe judge is to hand down sentences on Friday against the alleged mastermind of a coup plot in oil-rich Equatorial Guinea, Briton Simon Mann, and 67 other suspected mercenaries who were convicted two weeks ago.",zimbabwe judge hand sentence friday alleged mastermind coup plot oilrich equatorial guinea briton simon mann 67 suspected mercenary convicted two week ago,DT NN NN VBZ TO NN RP NNS IN NN IN DT JJ NN IN DT NN NN IN JJ JJ NN NN NN NN CC CD JJ VBN NNS WP VBD VBN CD NNS RB,zimbabwe_NN judge_NN hand_NN sentence_NNS friday_NN alleged_JJ mastermind_NN coup_NN plot_NN oilrich_JJ equatorial_JJ guinea_NN briton_NN simon_NN mann_NN 67_CD suspected_VBN mercenary_NNS convicted_VBN two_CD week_NNS ago_RB
